botanical,common,word_count
Pinus cembroides,Pinyon pine,4
Pinus monophylla,Single-leaf pinyon,4
Pinus parviflora,Japanese white pine,5
Pinus pinaster,Maritime pine,4
Pinus strobus,White pine,4
Pinus sylvestris,Scotch pine,4
Pistacia,Pistache,2
Pistasia chinensis,Chinese pistachio,4
Pittosporum,Pittosporum,2
Pittosporum tenuifolium,Nwe zealand pittosporum,5
Platanus,Plane,2
Platanus hispanica,London plane,4
Platanus hispanica,Plane tree,4
Platanus orientalis,Chennar tree,4
Platanus orientalis,Oriental plane,4
Polygala chamaebuxus,Milkwort,3
Polygala chamaebuxus,Bastard box,4
Poncirus,Poncirus,2
Poncirus trifoliata,Japanese bitter orange,5
Poncirus trifoliata,Trifoliate orange,4
Populus,Poplar,2
Populus alba Nivea,Silver poplar,5
Populus balsamifera,Balsam poplar,4
Populus balsamifera,Southern poplar,4
Populus balsamifera,Tacamahac,3
Populus lasiocarpa,Chinese poplar,4
Populus nigra,Old english poplar,5
Populus nigra,Black poplar,4
Populus tremula,European aspen,4
Populus tremula,Trembling aspen,4
Populus tremula,Aspen,3
Potentilla,Cinquefoil,2
Potentilla fruticosa,Shrubby cinquefoil,4
Potentilla fruticosa,Bush cinquefoi,4
Potentilla fruticosa,Golden hardhack,4
Prinsepia,Prinsepia,2
Prinsepia sinensis,Chinese prinsepia,4
Prunus,Plum,2
Prunus avium Plena,Double gean,5
Prunus cerasifera,Myrobolan plum,4
Prunus cerasifera,Cherry plum,4
Prunus cerasus,Wild cherry,4
Prunus cerasus,Sour cherry,4
Prunus cistena,Purple-leaved sand cherry,5
Prunus dulcis,Common almond,4
Prunus dulcis,Almond tree,4
Prunus fruticosa,Groundcherry,3
Prunus fruticosa,Dwarf cherry,4
Prunus fruticosa,All-saints cherry,4
Prunus glandulosa,Chinese bush cherry,5
Prunus glandulosa,Almond cherry,4
Prunus ilicifolia,Holly-leaved cherry,4
Prunus laurocerasus Causica,Caucasina laurel,5
Prunus lusitanica,Portuguese laurel,4
Prunus maackii,Manchurian cherry,4
Prunus mume,Japanes apricot,4
Prunus padus,Bird cherry,4
Prunus padus,European bird cherry,5
Prunus padus,Hagberry,3
Prunus persica,Peach,3
Prunus pumila,Dwarf american cherry,5
Prunus pumila,Sand cherry,4
Prunus sargentii,Sargents cjherry,4
Prunus serrula,Tibetan cherry,4
Prunus serrulata,Oriental cherry,4
Prunus serrulata,Japanese cherry,4
Prunus spinosa,Sloe bush,4
Prunus spinosa,Sloe,3
Prunus spinosa,Blackthorn,3
Prunus spinosa,Damson,3
Prunus subhirtella Autumnalis,Autumn cherry,5
Prunus tenella,Dwarf russian almond,5
Prunus triloba,Flowering plum,4
Prunus virginiana,Common choke cherry,5
Prunus virginiana,Choke cherry,4
Prunus yedoensis,Yoshino cherry,4
Ptelea trifoliata,Hop tree,4
Ptelea trifoliata,Stinking ash,4
Ptelea trifoliata,Common hop tree,5
Ptelea trifoliata,Shrubby treefoil,4
Pterocarya,Wing nut,3
Pterocarya fraxinifolia,Caucasina wing nut,5
Pterocarya rhoifolia,Japanese wing nut,5
Pterocarya stenoptera,Chinese wing nut,5
Punica,Punica,2
Punica granatum,Pomegrenate,3
Pyracantha,Fire thorn,3
Pyrus,Pear,2
Quercus,Oak,2
Quercus acuta,Japanese evergreen oak,5
Quercus acutissima,Japanese chestnut-leaved oak,5
Quercus alba,Whiteoak,3
Quercus aliena,Japanese big-leaved oak,5
Quercus bicolor,Swamp white oak,5
Quercus castaneifolia,Chestnut-leaved oak,4
Quercus cerris,European turkey oak,5
Quercus cerris,Turkey oak,4
Quercus coccifera,Kermes oak,4
Quercus coccinea,Scarlet oak,4
Quercus dentata,Daimyo oak,4
Quercus dentata,Daimio oak,4
Quercus douglasii,Blue oak,4
Quercus frainetto,Italian oak,4
Quercus frainetto,Hungairian oak,4
Quercus hispanica,Spanish oak,4
Quercus hispanica Lucombeana,Lucombe oak,5
Quercus ilex,Holly oak,4
Quercus ilex,Evergreen oak,4
Quercus ilex,Holm oak,4
Quercus ilicifolia,Bear oak,4
Quercus imbricaria,Shingle oak,4
Quercus kelloggii,Californian black oak,5
Quercus libani,Lebanon oak,4
Quercus ludoviciana,Ludwigs oak,4
Quercus lyrata,American white oak,5
Quercus lyrata,Overcup oak,4
Quercus macranthera,Caucasian oak,4
Quercus macranthera,Rumanian oak,4
Quercus macranthera,Persian oak,4
Quercus macrocarpa,Burr oak,4
Quercus macrocarpa,Mossy-cup oak,4
Quercus marilandica,Black jack oak,5
Quercus mongolica,Mongolian oak,4
Quercus muehlenbergii,Yellow chestnut oak,5
Quercus nigra,Water oak,4
Quercus nigra,Duck oak,4
Quercus palustris,Swamp oak,4
Quercus palustris,Pin oak,4
Quercus petraea,Chestnut oak,4
Quercus petraea,Durmast oak,4
Quercus petraea,Sessile oak,4
Quercus phellos,Willow oak,4
Quercus pontica,Armenian oak,4
Quercus pontica,Pontic oak,4
Quercus pubescens,White oak,4
Quercus pubescens,Downy oak,4
Quercus pubescens,Pubescent oak,4
Quercus pyrenaica,Pyrenean oak,4
Quercus robur,Common oak,4
Quercus robur,Pendunculate oak,4
Quercus robur,English oak,4
Quercus robur Fastigiata,Cypress oak,5
Quercus rubra,Red oak,4
Quercus rubra,Northern red oak,5
Quercus shumardii,Shumard red oak,5
Quercus stellata,Post oak,4
Quercus suber,Cork oak,4
Quercus trojana,Macedonian oak,4
Quercus turneri,Turners oak,4
Quercus velutina,Quercitron oak,4
Quercus velutina,Dyers oak,4
Quercus velutina,Yellow bark oak,5
Quercus velutina,Black oak,4
Tamarix,Tamarisk,2
Tamarix tetrandra,Five stamen tamarisk,5
Tetracentron,Tetracentron,2
Tetracentron sinense,Spur leaf,4
Thymus,Thyme,2
Tilia,Linden,2
Tilia,Lime tree,3
Tilia americana,American lime,4
Tilia americana,Basswood,3
Tilia americana,American linden,4
Tilia amurensis,Amur linden,4
Tilia cordata,Common linden,4
Tilia cordata,Small-leaved lime,4
Tilia cordata,Little-leaf linden,4
Tilia mandshurica,Manchurian linden,4
Tilia mandshurica,Manchurian lime,4
Tilia mongolica,Mongolian lime,4
Tilia mongolica,Mongolian linden,4
Tilia oliveri,Olivers linden,4
Tilia oliveri,Olivers lime,4
Tilia platyphyllos,Broad-leaved lime,4
Tilia platyphyllos,Big leaf linden,5
Tilia platyphyllos,Large-leaved lime,4
Tilia tomentosa,European white lime,5
Tilia tomentosa,Silver linden,4
Tilia tomentosa,Silver lime,4
Tilia tomentosa,Hungarian silver lime,5
Toona,Toon,2
Toona sinensis,Chinese cedar,4
Toona sinensis,Chinese toon,4
Trachycarpus,Windmill palm,3
Trachycarpus fortunei,Chusan palm,4
Trachycarpus fortunei,Chinese windmill palm,5
Rhamnus,Buckthorn,2
Rhamnus alaternus,Alaternus,3
Rhamnus alaternus,Mediterranean buckthorn,4
Rhamnus alaternus,Barren privet,4
Rhamnus alaternus,Evergreen buckthorn,4
Rhamnus alaternus,Italian buckthorn,4
Rhamnus frangula,Alder buckthorn,4
Rhamnus frangula,Glossy buckthorn,4
Rhamnus utilis,Chinese buckthorn,4
Rhodotypos,Jetbead,2
Rhodotypos scandens,Black jetbead,4
Rhus,Sumach,2
Rhus glabra,Smooth sumac,4
Rhus potaninii,Chinese sumach,4
Rhus typhina,Stags horn sumach,5
Rhus typhina,Staghorn,3
Ribes,Currant,2
Ribes alpinum,Mountain currant,4
Ribes alpinum,Alpine currant,4
Ribes odoratum,Clove currant,4
Ribes odoratum,Buffalo currant,4
Ribes sanguineum,Flowering currant,4
Ribes sanguineum,Winter currant,4
Ribes sanguineum,Blood currant,4
Ribes uva-crispa,Gooseberry,3
Robinia,Locust,2
Robinia hispida,Rose acacia,4
Robinia pseudo-acacia,Black locust,4
Robinia pseudo-acacia,False acacia,4
Robinia pseudo-acacia Umbraculifera,Mop head acacia,6
Robinia pseudo-acacia Umbraculifera,Parasol acacia,5
Robinia viscosa,Clammy locust,4
Rosa,Rose,2
Rosmarinus,Rosemary,2
Rosmarinus officinalis,Moorwort,3
Rubus,Raspberry,2
Rubus caesius,European dewberry,4
Rubus caesius,Dewberry,3
Rubus fruticosus,Bramble,3
Rubus fruticosus,Blackberry,3
Rubus odoratus,Purple-flowering raspberry,4
Rubus odoratus,Fragrant thimbleberry,4
Salix,Osier,2
Salix,Willow,2
Salix acutifolia,Sharp-leaved willow,4
Salix alba Chermesina,Coral bark willow,6
Salix alba Chermesina,Scarlet willow,5
Salix arbuscula,Little tree willow,5
Salix aurita,Eared sallow,4
Salix aurita,Round-ear willow,4
Salix babylonica,Weeping willow,4
Salix caprea,Goat willow,4
Salix caprea,Great sallow,4
Salix caprea,Common sallow,4
Salix caprea,Pussy willow,4
Salix cinerea,Grey sallow,4
Salix daphnoides,Daphne willow,4
Salix daphnoides,Mezereon willow,4
Salix daphnoides,Violet willow,4
Salix elaeagnos,Hoary willow,4
Salix elaeagnos,Lavender willow,4
Salix elaeagnos,Elaeagnus willow,4
Salix glabra,Alpine willow,4
Salix glabra,Glabrous willow,4
Salix hastata,Apple-leaved willow,4
Salix hastata,Halberd- leaved willow,5
Salix herbacea,Dwarf willow,4
Salix herbacea,Least willow,4
Salix matsudana,Peking willow,4
Salix matsudana Tortuosa,Dragons claw willow,6
Salix myrtilloides,Bog willow,4
Salix myrtilloides,Myrtle-leaved willow,4
Salix nigricans,Dark-leaved willow,4
Salix nigricans,Blueberry willow,4
Salix pentandra,Bay willow,4
Salix pentandra,Laurel willow,4
Salix pentandra,Bay-leaved willow,4
Salix purpurea,Purple willow,4
Salix purpurea,Purple osier,4
Salix purpurea,Red willow,4
Salix repens,Creeping willow,4
Salix repens,Common dwarf willow,5
Salix triandra,Almond-leaved willow,4
Salix triandra,French willow,4
Salix viminalis,Basket willow,4
Salix viminalis,Basket osier,4
Salix viminalis,Common osier,4
Salvia,Sage,2
Sambucus,Elder,2
Sambucus canadensis,American elderberry,4
Sambucus canadensis,American alder,4
Sambucus ebulus,Danes elder,4
Sambucus ebulus,Mediterranean herb elder,5
Sambucus nigra,European elder,4
Sambucus nigra,Common elder,4
Sambucus racemosa,Alpine elder,4
Sambucus racemosa,Red-berried elder,4
Sambucus racemosa,Grape elder,4
Sambucus racemosa,European red elder,5
Sapium,Tallow tree,3
Sassafras,Sassafras,2
Sassafras albidum,Common sassafras,4
Sassafras tzumu,Chinese sassafras,4
Schinus molle,Californian pepper tree,5
Schinus molle,Mastic tree,4
Schinus molle,Pepper tree,4
Senecio,Groundsel,2
Senecio,Ragwort,2
Sophora japonica,Pagoda tree,4
Sophora japonica,Japanese pagoda tree,5
Sophora japonica Pendula,Japanese weeping pagoda tree,7
Sophora tetraptera,Kowhai,3
Sophora tetraptera,New zealand sophora,5
Sorbaria,False spirea,3
Sorbus alnifolia,Atsuki pear,4
Sorbus alnifolia,Hornbeam ash,4
Sorbus alnifolia,Dense head mountain ash,6
Sorbus americana,American mountain ash,5
Sorbus aria,Whitebeam,3
Sorbus aria,Cess apple,4
Sorbus aucuparia,Rowan,3
Sorbus aucuparia,Mountain ash,4
Sorbus aucuparia,European mountain ash,5
Sorbus aucuparia,Quickbeam,3
Sorbus cashmiriana,Kashmir rowan,4
Sorbus commixta,Japanese rowan,4
Sorbus domestica,Service tree mountain ash,6
Sorbus domestica,True service tree,5
Sorbus domestica,Service tree,4
Sorbus folgneri,Folgners whitebeam,4
Sorbus hupehensis,Hupeh rowan,4
Sorbus hybrida,Finnish whitebeam,4
Sorbus hybrida,Oak-leaved mountain ash,5
Sorbus intermedia,Swedish mountain ash,5
Sorbus intermedia,Swedish whitebeam,4
Sorbus latifolia,Fontainebleau service tree,5
Sorbus sargentiana,Sargents rowan,4
Sorbus thuringiaca,Thuringe hybrid ash,5
Sorbus thuringiaca,Bastard service tree,5
Sorbus torminalis,Beam tree,4
Sorbus torminalis,Wild service tree,5
Sorbus torminalis,Chequer tree,4
Sorbus vilmorinii,Vilmorins rowan,4
Spartium,Spanishs broom,3
Spartium junceum,Spanish broom,4
Spartium junceum,Weawers broom,4
Spartium junceum,Yellow spanish broom,5
Spiraea,Spirea,2
Spiraea chamaedryfolia,Germander spirea,4
Spiraea douglasii,Douglas spirea,4
Staphylea,Bladdernut,2
Staphylea pinnata,St antonys nut,5
Staphylea pinnata,European bladdernut,4
Staphylea pinnata,Shrubberies,3
Stewartia,Stewartia,2
Stewartia pseudocamellia,Japanese stewartia,4
Stewartia pseudocamellia,Deciduous stewartia,4
Styrax,Storax,2
Styrax japonicus,Snowbell tree,4
Styrax obassia,Big leaf storax,5
Styrax officinalis,Officinal storax,4
Sutherlandia,Sutherlandia,2
Symphoricarpus,Snowberry,2
Symphoricarpus orbiculatus,Indian currant,4
Symphoricarpus orbiculatus,Coralberry,3
Syringa,Lilac,2
Syringa chinensis,Rouen lilac,4
Syringa chinensis,Chinese lilac,4
Syringa josikaea,Hungarian lilac,4
Syringa persica,Persian lilac,4
Syringa vulgaris,Common lilac,4
Syringa vulgaris,Syringa,3
Ulex,Furze,2
Ulex europaus,Gorse,3
Ulex europaus,Double furze,4
Ulex gallii,Western gorse,4
Ulex gallii,Welsh gorse,4
Ulex minor,Dwarf gorse,4
Ulex minor,Dwarf furze,4
Ulmus,Elm,2
Ulmus glabra Camperdownii,Camperdown elm,5
Ulmus hollandica,Dutch elm,4
Ulmus minor,Common elm,4
Ulmus minor,Field elm,4
Ulmus minor,Smooth-leaved elm,4
Ulmus parvifolia,Chinese elm,4
Umbellularia,Umbellularia,2
Umbellularia californica,Californian laurel,4
Umbellularia californica,Oregon myrtle,4
Umbellularia californica,Headache tree,4
Umbellularia californica,California bay,4
Vaccinium,Billberry,2
Vaccinium,Blueberry,2
Vaccinium corymbosum,Highbushblueberry,3
Vaccinium corymbosum,Swamp blueberry,4
Vaccinium oxycoccus,Moosberry,3
Vaccinium oxycoccus,Small cranberry,4
Vaccinium oxycoccus,Fan berry,4
Vaccinium oxycoccus,Cranberry,3
Vaccinium uliginosum,Red whortleberry,4
Vaccinium uliginosum,Bog whortleberry,4
Vaccinium uliginosum,Bog bilberry,4
Vaccinium vitis-idaea,Red bilberry,4
Vaccinium vitis-idaea,Cow berry,4
Vaccinium vitis-idaea,Mountain cranberry,4
Viburnum,Snowball,2
Viburnum carlesii,Korean spice viburnum,5
Viburnum lantana,Mealy guleder rose,5
Viburnum lantana,Wayfaring tree,4
Viburnum lentago,Sheep-berry,3
Viburnum lentago,Nannyberry,3
Viburnum opulus,Water elder,4
Viburnum opulus,European cranberry bush,5
Viburnum opulus,Guelder rose,4
Viburnum plicatum,Japanese snowball,4
Viburnum tinus,Laurustinus,3
Viburnum tinus,Laurestinus viburnum,4
Viburnum tinus,Laurustine,3
Viola,Violet,2
Vitex,Chaste tree,3
Vitex agnus-castus,Hemp tree,4
Vitex agnus-castus,Monks pepper,4
Weigela,Weigela,2
Xanthoceras,Yellow-horn,2
Xanthoceras sorbifolium,Shiny-leaved yellow-horn,4
Xanthoceras sorbifolium,Sinleaf yellow-horn,4
Zanthoxylum,Prickly ash,3
Zanthoxylum piperitum,Japanese pepper,4
Zelkova,Zelkova,2
Zelkova carpinifolia,Caucasina elm,4
Zelkova carpinifolia,Elm zelkova,4
Zelkova serrata,Japanese zelkova,4
Zelkova serrata,Keaki,3
Ziziphus jujuba,Jujube,3
